after,before,flip_tax,total_flips,council
"$840,640,000.00","$310,689,000.00","$5,299,510.00",9,1
"$334,834,900.00","$163,491,300.00","$1,713,436.00",5,3
"$242,576,000.00","$121,287,380.00","$1,212,886.20",3,2
"$223,937,600.00","$121,606,400.00","$1,023,312.00",8,4
"$153,333,449.00","$64,185,092.00","$891,483.57",151,36
"$124,611,558.00","$62,206,830.00","$624,047.28",260,27
"$109,017,735.00","$47,299,964.00","$617,177.71",152,37
"$103,117,240.00","$49,123,300.00","$539,939.40",44,34
"$90,408,420.00","$43,092,540.00","$473,158.80",15,33
"$86,392,585.00","$40,576,220.00","$458,163.65",108,41
"$80,597,554.00","$39,790,360.00","$408,071.94",182,28
"$52,722,890.00","$23,389,726.00","$293,331.64",34,35
"$55,820,262.00","$27,883,585.00","$279,366.77",116,31
"$47,100,640.00","$21,048,000.00","$260,526.40",8,26
"$49,208,800.00","$23,929,500.00","$252,793.00",20,39
"$48,795,239.00","$24,864,655.00","$239,305.84",55,45
"$45,579,277.00","$22,244,451.00","$233,348.26",34,40
"$41,258,556.00","$20,021,716.00","$212,368.40",80,42
"$41,693,945.00","$21,369,849.00","$203,240.96",91,12
"$30,168,270.00","$12,928,120.00","$172,401.50",11,9
"$33,988,387.00","$17,626,137.00","$163,622.50",71,46
"$31,125,034.00","$15,326,426.00","$157,986.08",36,21
"$27,081,751.00","$13,160,550.00","$139,212.01",36,30
"$27,018,132.00","$14,271,264.00","$127,468.68",54,32
"$27,201,690.00","$16,697,560.00","$105,041.30",7,10
"$21,151,372.00","$10,830,173.00","$103,211.99",34,17
"$19,069,869.00","$9,016,510.00","$100,533.59",20,48
"$17,700,275.00","$8,530,500.00","$91,697.75",20,47
"$16,872,000.00","$7,915,351.00","$89,566.49",11,38
"$17,427,912.00","$8,760,000.00","$86,679.12",18,19
"$17,718,560.00","$9,323,076.00","$83,954.84",23,15
"$13,878,950.00","$6,877,988.00","$70,009.62",29,13
"$12,677,588.00","$6,247,000.00","$64,305.88",27,18
"$13,815,998.00","$7,448,504.00","$63,674.94",22,23
"$9,584,430.00","$3,600,425.00","$59,840.05",4,7
"$12,872,000.00","$7,236,839.00","$56,351.61",10,14
"$12,275,000.00","$7,125,000.00","$51,500.00",1,6
"$10,295,900.00","$5,559,082.00","$47,368.18",14,11
"$7,337,500.00","$2,615,000.00","$47,225.00",7,44
"$8,779,765.00","$4,425,439.00","$43,543.26",8,25
"$6,795,260.00","$2,811,500.00","$39,837.60",9,22
"$8,092,000.00","$4,172,964.00","$39,190.36",12,24
"$8,195,850.00","$4,440,500.00","$37,553.50",8,43
"$7,157,430.00","$3,488,767.00","$36,686.63",13,16
"$5,227,045.00","$2,380,299.00","$28,467.46",7,29
"$5,916,000.00","$3,328,129.00","$25,878.71",5,8
"$4,925,000.00","$3,000,000.00","$19,250.00",1,5
"$2,807,885.00","$1,300,000.00","$15,078.85",3,20
