after,before,flip_tax,total_flips,zipcode
"$585,000,000.00","$189,000,000.00","$3,960,000.00",1,10004
"$623,851,959.00","$292,182,183.00","$3,316,697.76",984,11221
"$723,990,000.00","$414,700,000.00","$3,092,900.00",14,10016
"$640,250,000.00","$356,680,000.00","$2,835,700.00",11,10018
"$402,040,000.00","$120,930,000.00","$2,811,100.00",6,10017
"$436,036,523.00","$208,084,048.00","$2,279,524.75",720,11233
"$437,122,359.00","$227,669,106.00","$2,094,532.53",960,11434
"$397,948,431.00","$193,290,029.00","$2,046,584.02",769,11207
"$329,846,648.00","$165,404,120.00","$1,644,425.28",753,11433
"$285,301,156.00","$133,367,961.00","$1,519,331.95",360,11216
"$304,860,256.00","$155,054,716.00","$1,498,055.40",628,11208
"$255,400,000.00","$111,353,500.00","$1,440,465.00",14,10012
"$279,810,000.00","$138,450,000.00","$1,413,600.00",6,10019
"$307,504,389.00","$166,972,362.00","$1,405,320.27",716,11412
"$244,680,000.00","$107,350,000.00","$1,373,300.00",12,10013
"$290,355,030.00","$154,687,467.00","$1,356,675.63",597,11413
"$228,097,000.00","$110,353,000.00","$1,177,440.00",10,10036
"$221,512,500.00","$106,355,000.00","$1,151,575.00",16,10014
"$325,000,000.00","$210,000,000.00","$1,150,000.00",1,10005
"$235,314,946.00","$122,509,546.00","$1,128,054.00",553,11436
"$214,320,000.00","$106,475,000.00","$1,078,450.00",9,10001
"$225,855,231.00","$120,938,947.00","$1,049,162.84",458,11420
"$210,210,000.00","$105,630,000.00","$1,045,800.00",7,10010
"$184,000,000.00","$87,500,000.00","$965,000.00",1,10006
"$186,919,115.00","$91,217,604.00","$957,015.11",203,11206
"$151,470,000.00","$60,909,956.00","$905,600.44",10,10003
"$157,555,847.00","$72,466,128.00","$850,897.19",134,11238
"$174,501,170.00","$91,638,297.00","$828,628.73",360,11236
"$145,058,899.00","$69,182,612.00","$758,762.87",224,11213
"$142,202,595.00","$69,731,968.00","$724,706.27",108,11215
"$153,705,197.00","$82,047,891.00","$716,573.06",319,11435
"$125,686,035.00","$54,500,978.00","$711,850.57",38,10031
"$158,001,774.00","$86,884,125.00","$711,176.49",303,11422
"$145,638,070.00","$74,615,924.00","$710,221.46",203,11368
"$147,185,367.00","$78,249,112.00","$689,362.55",288,11203
"$94,401,000.00","$25,987,679.00","$684,133.21",9,10029
"$138,160,271.00","$71,080,126.00","$670,801.45",303,10466
"$146,900,000.00","$80,630,000.00","$662,700.00",7,10011
"$127,300,000.00","$63,080,000.00","$642,200.00",6,10065
"$116,420,000.00","$52,300,000.00","$641,200.00",22,10025
"$137,100,843.00","$73,878,910.00","$632,219.33",218,11369
"$139,574,636.00","$77,283,491.00","$622,911.45",321,11429
"$121,309,000.00","$62,901,073.00","$584,079.27",21,11201
"$110,263,511.00","$54,168,177.00","$560,953.34",214,11212
"$111,647,075.00","$59,833,679.00","$518,133.96",200,11234
"$102,584,412.00","$51,142,943.00","$514,414.69",237,11691
"$105,502,531.00","$54,312,922.00","$511,896.09",108,11225
"$102,379,661.00","$51,690,537.00","$506,891.24",149,11226
"$106,556,762.00","$55,976,328.00","$505,804.34",236,10469
"$102,309,869.00","$51,801,556.00","$505,083.13",77,11205
"$95,710,381.00","$50,424,050.00","$452,863.31",29,11101
"$104,824,902.00","$59,577,578.00","$452,473.24",216,11421
"$89,095,108.00","$43,876,980.00","$452,181.28",54,10027
"$93,966,582.00","$50,217,996.00","$437,485.86",177,10467
"$85,890,000.00","$42,520,000.00","$433,700.00",10,10002
"$95,045,756.00","$52,564,128.00","$424,816.28",191,11419
"$78,450,864.00","$36,628,366.00","$418,224.98",147,10456
"$85,714,461.00","$44,690,155.00","$410,243.06",139,11385
"$89,976,775.00","$49,331,654.00","$406,451.21",105,11432
"$85,092,074.00","$44,908,293.00","$401,837.81",177,11411
"$81,109,875.00","$41,857,807.00","$392,520.68",142,11418
"$83,636,172.00","$44,741,780.00","$388,943.92",169,11423
"$74,424,580.00","$36,966,949.00","$374,576.31",144,10457
"$70,868,001.00","$33,877,322.00","$369,906.79",42,11217
"$76,654,545.00","$39,919,142.00","$367,354.03",121,11237
"$64,020,000.00","$28,530,000.00","$354,900.00",8,10128
"$70,462,592.00","$35,421,367.00","$350,412.25",124,10473
"$59,878,357.00","$26,629,278.00","$332,490.79",49,10474
"$63,524,187.00","$31,475,886.00","$320,483.01",79,11378
"$68,526,801.00","$36,588,741.00","$319,380.60",76,11365
"$54,800,000.00","$23,666,500.00","$311,335.00",13,11249
"$64,583,969.00","$33,783,970.00","$307,999.99",84,11377
"$68,098,399.00","$37,356,409.00","$307,419.90",133,11416
"$54,950,381.00","$24,629,383.00","$303,209.98",55,11230
"$64,839,501.00","$34,528,049.00","$303,114.52",130,10460
"$65,493,000.00","$35,777,500.00","$297,155.00",27,10032
"$64,799,774.00","$35,230,724.00","$295,690.50",118,10472
"$61,010,565.00","$31,466,005.00","$295,445.60",96,11210
"$59,802,720.00","$31,340,638.00","$284,620.82",65,11361
"$52,593,400.00","$24,528,256.00","$280,651.44",34,11211
"$51,637,000.00","$24,006,288.00","$276,307.12",43,11231
"$54,037,500.00","$26,519,110.00","$275,183.90",41,11222
"$52,745,376.00","$25,543,143.00","$272,022.33",101,10459
"$53,192,149.00","$26,075,484.00","$271,166.65",103,10465
"$54,300,807.00","$27,484,354.00","$268,164.53",100,10458
"$56,799,756.00","$30,236,129.00","$265,636.27",59,11364
"$49,740,000.00","$23,575,000.00","$261,650.00",9,10009
"$53,554,019.00","$27,405,966.00","$261,480.53",62,11357
"$54,923,603.00","$29,025,323.00","$258,982.80",57,11355
"$42,900,000.00","$17,131,701.00","$257,682.99",13,10026
"$56,300,000.00","$30,820,000.00","$254,800.00",5,10024
"$51,885,796.00","$26,684,229.00","$252,015.67",95,10462
"$50,119,300.00","$25,426,379.00","$246,929.21",61,11220
"$48,761,496.00","$24,273,128.00","$244,883.68",63,11235
"$48,185,500.00","$23,974,151.00","$242,113.49",25,10030
"$51,382,888.00","$27,226,299.00","$241,565.89",58,11358
"$48,470,000.00","$24,470,000.00","$240,000.00",6,10021
"$47,581,400.00","$23,592,230.00","$239,891.70",52,11223
"$47,872,102.00","$24,016,050.00","$238,560.52",58,11218
"$38,144,400.00","$15,394,408.00","$227,499.92",33,11204
"$47,846,935.00","$25,159,047.00","$226,878.88",77,11229
"$46,499,647.00","$24,013,692.00","$224,859.55",58,11373
"$46,621,649.00","$24,243,398.00","$223,782.51",83,10461
"$45,054,641.00","$22,823,154.00","$222,314.87",48,10455
"$40,390,990.00","$18,187,045.00","$222,039.45",41,11232
"$47,153,472.00","$25,251,153.00","$219,023.19",94,11417
"$43,457,287.00","$23,052,852.00","$204,044.35",41,11362
"$45,501,990.00","$25,405,360.00","$200,966.30",79,11428
"$38,978,610.00","$19,356,630.00","$196,219.80",77,10453
"$41,769,935.00","$22,848,692.00","$189,212.43",112,11692
"$40,852,733.00","$23,120,250.00","$177,324.83",61,11426
"$35,432,698.00","$17,716,302.00","$177,163.96",56,11356
"$30,652,000.00","$13,580,352.00","$170,716.48",19,10035
"$26,400,000.00","$9,441,720.00","$169,582.80",6,10022
"$33,297,848.00","$17,533,745.00","$157,641.03",40,11219
"$33,044,839.00","$17,615,368.00","$154,294.71",43,11366
"$36,720,000.00","$21,550,000.00","$151,700.00",3,10075
"$23,980,000.00","$9,150,000.00","$148,300.00",3,10038
"$26,260,212.00","$11,931,914.00","$143,282.98",46,10452
"$25,800,000.00","$11,903,000.00","$138,970.00",5,10028
"$27,046,301.00","$14,618,668.00","$124,276.33",49,11427
"$25,399,319.00","$13,085,557.00","$123,137.62",27,11102
"$26,412,000.00","$14,278,208.00","$121,337.92",30,11214
"$20,910,025.00","$8,867,294.00","$120,427.31",25,11694
"$23,497,340.00","$12,084,681.00","$114,126.59",39,10468
"$22,321,500.00","$11,007,750.00","$113,137.50",25,11209
"$20,240,000.00","$9,280,000.00","$109,600.00",4,10034
"$23,860,083.00","$12,942,653.00","$109,174.30",38,10454
"$22,474,505.00","$11,615,927.00","$108,585.78",25,11354
"$21,536,000.00","$10,703,795.00","$108,322.05",18,11375
"$19,781,500.00","$9,150,450.00","$106,310.50",26,11379
"$21,886,385.00","$11,530,007.00","$103,563.78",21,11372
"$21,895,000.00","$11,614,100.00","$102,809.00",8,10033
"$20,190,000.00","$9,960,000.00","$102,300.00",4,10023
"$20,346,239.00","$10,976,900.00","$93,693.39",29,11370
"$17,874,467.00","$8,507,507.00","$93,669.60",26,10463
"$18,482,900.00","$9,232,116.00","$92,507.84",35,11414
"$18,645,022.00","$9,703,877.00","$89,411.45",33,10470
"$18,977,902.00","$10,055,151.00","$89,227.51",25,11367
"$14,744,762.00","$6,035,500.00","$87,092.62",16,10451
"$19,562,463.00","$11,143,000.00","$84,194.63",27,11004
"$16,717,325.00","$8,989,649.00","$77,276.76",34,11693
"$15,593,300.00","$7,887,777.00","$77,055.23",25,11224
"$15,817,577.00","$8,701,559.00","$71,160.18",21,11228
"$16,262,702.00","$9,149,400.00","$71,133.02",14,11360
"$13,804,980.00","$7,348,250.00","$64,567.30",12,11103
"$13,380,000.00","$6,997,500.00","$63,825.00",3,10040
"$9,550,500.00","$4,315,500.00","$52,350.00",10,10471
"$11,293,000.00","$6,140,120.00","$51,528.80",12,11105
"$10,923,000.00","$5,806,171.00","$51,168.29",14,11106
"$7,580,000.00","$2,730,000.00","$48,500.00",6,10037
"$11,425,000.00","$6,850,000.00","$45,750.00",4,10039
"$8,504,044.00","$4,391,600.00","$41,124.44",13,11415
"$6,796,000.00","$2,997,733.00","$37,982.67",7,11374
"$5,268,000.00","$2,670,000.00","$25,980.00",7,11104
"$6,215,000.00","$3,725,000.00","$24,900.00",9,11001
"$4,812,500.00","$2,542,000.00","$22,705.00",5,11363
"$4,059,000.00","$2,128,850.00","$19,301.50",8,10464
"$3,830,000.00","$2,250,000.00","$15,800.00",1,11430
"$1,600,000.00","$750,000.00","$8,500.00",1,10803
"$1,753,500.00","$1,023,000.00","$7,305.00",3,11040
"$914,000.00","$486,000.00","$4,280.00",3,10475
"$250,000.00","$125,000.00","$1,250.00",1,0
